,SponsorNo,StudentID,StartDate,EndDate,Sch_Amount,Start_Year,End_Year,Country,Gender,Department,Ethnicity
0,S1,43,9/7/2021 0:00,9/7/2023,1000,2017,2023,Pakistan,M,Urdu,Asian
1,S1,44,9/7/2021 0:00,9/7/2023,2000,2017,2023,Turkey,M,English,European
2,S1,46,9/7/2022,9/7/2024,3000,2018,2024,India,M,French,ME
3,S1,43,9/7/2022,9/7/2024,1000,2018,2024,Pakistan,F,Arabic,ME
4,S1,45,9/7/2022,9/7/2024,2000,2018,2024,India,F,Arabic,Asian
5,S2,61,9/7/2023,9/7/2024,1000,2019,2024,Srilanka,F,French,African
6,S2,62,9/7/2023,9/7/2024,2000,2019,2024,Pakistan,F,French,African
7,S2,63,9/7/2023,9/7/2024,3000,2019,2024,Egypt,M,French,ME
8,S3,71,9/7/2024,9/7/2026,1500,2020,2026,Sudan,M,Urdu,Asian
9,S3,72,9/7/2024,9/7/2026,1000,2017,2026,Sudan,M,Urdu,European
10,S3,73,9/7/2024,9/7/2026,2000,2017,2026,Sudan,M,English,European
11,S3,74,9/7/2024,9/7/2026,3000,2018,2026,Egypt,F,French,European
12,S3,75,9/7/2024,9/7/2026,4000,2018,2026,Pakistan,F,English,Asian
13,S3,76,9/7/2024,9/7/2026,1000,2018,2026,India,M,Urdu,ME
14,S2,63,9/7/2023,9/7/2024,3000,2019,2024,Egypt,F,French,ME
15,S3,43,9/7/2021 0:00,9/7/2023,1000,2019,2023,Pakistan,M,Urdu,Asian
16,S4,44,9/7/2021 0:00,9/7/2023,2000,2019,2023,Bangladesh,M,English,European
17,S2,46,9/7/2022,9/7/2024,3000,2020,2024,India,M,French,ME
18,S2,43,9/7/2022,9/7/2024,1000,2017,2024,Pakistan,F,Arabic,ME
19,S1,45,9/7/2022,9/7/2024,2000,2017,2024,India,M,French,Asian
20,S2,61,9/7/2023,9/7/2024,1000,2018,2024,Srilanka,F,Arabic,African
21,S4,62,9/7/2023,9/7/2024,2000,2018,2024,Pakistan,F,French,African
22,S5,63,9/7/2023,9/7/2024,3000,2018,2024,Egypt,M,French,ME
23,S6,71,9/7/2024,9/7/2026,1500,2019,2026,Sudan,M,Urdu,Asian
24,S3,72,9/7/2024,9/7/2026,1000,2019,2026,Sudan,M,Urdu,European
25,S7,73,9/7/2024,9/7/2026,2000,2019,2026,Sudan,M,English,European
26,S3,74,9/7/2024,9/7/2026,3000,2020,2026,Egypt,F,French,European
27,S3,75,9/7/2024,9/7/2026,4000,2017,2026,Pakistan,F,English,Asian
28,S3,76,9/7/2024,9/7/2026,1000,2017,2026,India,M,Urdu,ME
29,S2,63,9/7/2023,9/7/2024,3000,2018,2024,Egypt,F,French,ME
30,S1,43,9/7/2021 0:00,9/7/2023,1000,2018,2023,Pakistan,M,Urdu,Asian
31,S1,44,9/7/2021 0:00,9/7/2023,2000,2018,2023,Bangladesh,M,English,European
32,S1,46,9/7/2022,9/7/2024,3000,2019,2024,India,M,French,ME
33,S1,43,9/7/2022,9/7/2024,1000,2019,2024,Pakistan,F,Arabic,ME
34,S1,45,9/7/2022,9/7/2024,2000,2019,2024,India,F,French,Asian
35,S2,61,9/7/2023,9/7/2024,1000,2020,2024,Srilanka,F,Arabic,African
36,S2,62,9/7/2023,9/7/2024,2000,2020,2024,Pakistan,F,French,African
37,S2,63,9/7/2023,9/7/2024,3000,2020,2024,Egypt,M,Urdu,ME
38,S8,71,9/7/2024,9/7/2026,1500,2020,2026,Sudan,M,Urdu,Asian
39,S3,72,9/7/2024,9/7/2026,1000,2019,2026,Sudan,M,Urdu,European
40,S7,73,9/7/2024,9/7/2026,2000,2019,2026,Sudan,F,English,European
41,S3,74,9/7/2024,9/7/2026,3000,2019,2026,Egypt,F,English,European
42,S3,75,9/7/2024,9/7/2026,4000,2020,2026,Pakistan,F,English,Asian
43,S3,76,9/7/2024,9/7/2026,1000,2017,2026,India,M,Urdu,ME
44,S9,63,9/7/2023,9/7/2024,3000,2017,2024,Egypt,F,French,ME
45,S3,43,9/7/2021 0:00,9/7/2023,1000,2018,2023,Pakistan,M,Urdu,Asian
46,S4,44,9/7/2021 0:00,9/7/2023,2000,2018,2023,Bangladesh,M,Urdu,European
47,S2,46,9/7/2022,9/7/2024,3000,2018,2024,India,M,French,ME
48,S2,43,9/7/2022,9/7/2024,1000,2019,2024,Pakistan,F,Arabic,ME
49,S1,45,9/7/2022,9/7/2024,2000,2019,2024,India,F,French,Asian
50,S2,61,9/7/2023,9/7/2024,1000,2019,2024,Srilanka,F,Arabic,African
51,S4,62,9/7/2023,9/7/2024,2000,2020,2024,Pakistan,F,French,African
52,S5,63,9/7/2023,9/7/2024,3000,2017,2024,Egypt,M,French,ME
53,S6,71,9/7/2024,9/7/2026,1500,2017,2026,Sudan,M,Urdu,Asian
54,S3,72,9/7/2024,9/7/2026,1000,2018,2026,Sudan,M,Urdu,European
55,S7,73,9/7/2024,9/7/2026,2000,2018,2026,Sudan,F,English,European
56,S3,74,9/7/2024,9/7/2026,3000,2018,2026,Egypt,F,French,European
57,S3,75,9/7/2024,9/7/2026,4000,2019,2026,Pakistan,F,English,Asian
58,S3,76,9/7/2024,9/7/2026,1000,2019,2026,India,M,Urdu,ME
59,S2,63,9/7/2023,9/7/2024,3000,2019,2024,Egypt,F,French,ME
60,S1,43,9/7/2021 0:00,9/7/2023,1000,2017,2023,Pakistan,M,Urdu,Asian
61,S1,44,9/7/2021 0:00,9/7/2023,2000,2017,2023,Turkey,M,English,European
62,S1,46,9/7/2022,9/7/2024,3000,2018,2024,India,M,French,ME
63,S1,43,9/7/2022,9/7/2024,1000,2018,2024,Pakistan,F,Arabic,ME
64,S1,45,9/7/2022,9/7/2024,2000,2018,2024,India,F,Arabic,Asian
65,S2,61,9/7/2023,9/7/2024,1000,2019,2024,Srilanka,F,French,African
66,S2,62,9/7/2023,9/7/2024,2000,2019,2024,Pakistan,F,French,African
67,S2,63,9/7/2023,9/7/2024,3000,2019,2024,Egypt,M,French,ME
68,S3,71,9/7/2024,9/7/2026,1500,2020,2026,Sudan,M,Urdu,Asian
69,S3,72,9/7/2024,9/7/2026,1000,2017,2026,Sudan,M,Urdu,European
70,S3,73,9/7/2024,9/7/2026,2000,2017,2026,Sudan,M,English,European
71,S3,74,9/7/2024,9/7/2026,3000,2018,2026,Egypt,F,French,European
72,S3,75,9/7/2024,9/7/2026,4000,2018,2026,Pakistan,F,English,Asian
